Rota_1
identifier,0,time_windows,12:0:00
identifier,10,time_windows,14:33:00
identifier,3,time_windows,14:52:00
identifier,11,time_windows,17:15:00
Distance [Km],315.90804563433113
Rota_2
identifier,0,time_windows,12:0:00
identifier,1,time_windows,13:5:00
identifier,4,time_windows,13:27:00
identifier,7,time_windows,14:43:00
identifier,8,time_windows,15:23:00
identifier,5,time_windows,17:19:00
identifier,11,time_windows,17:48:00
Distance [Km],348.68372327138457
Rota_3
identifier,0,time_windows,12:0:00
identifier,2,time_windows,16:43:00
identifier,6,time_windows,18:6:00
identifier,9,time_windows,18:18:00
identifier,11,time_windows,24:36:00
Distance [Km],756.135999659904
